step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,81,1,2.93863602350757,0.0,0.5131578947368421
2,274,2,2.265881683628777,0.0,0.5621621621621622
3,371,3,2.5009217612957095,0.0,0.5789473684210527
4,500,4,2.7883836999080813,0.0,0.4603174603174603
5,589,5,2.483139424087395,0.0,0.5061728395061729
6,726,6,2.3423579068501783,0.0,0.5954198473282443
7,799,7,2.678754038484233,0.0,0.5072463768115942
8,888,8,2.8754825988382273,0.0,0.45348837209302323
9,1041,9,2.931043915902448,0.0,0.423841059602649
10,1130,10,2.356039697439304,0.0,0.5595238095238095
11,1235,11,2.378749308747781,0.0,0.5306122448979592
12,1340,12,3.047187293817003,0.0,0.38
13,1509,13,2.021738502151233,0.0,0.5341614906832298
14,1662,14,1.9081960966225442,0.0,0.5724137931034483
15,1743,15,2.513504150265362,0.0,0.5131578947368421
16,1808,16,1.9320043655970949,0.0,0.5238095238095238
17,1905,17,2.4425112835997425,0.0,0.47191011235955055
18,1978,18,2.545696134949493,0.0,0.5277777777777778
19,2139,19,2.3936466809305785,0.0,0.43790849673202614
20,2364,20,1.939491384328156,0.0,0.5585585585585585
21,2501,21,2.0733558124035936,0.0,0.5426356589147286
22,2694,22,2.028047731672449,0.0,0.5078534031413613
23,2903,23,1.9870982580668315,0.0,0.5594059405940595
24,3016,24,1.9350080865367218,0.0,0.5185185185185185
25,3217,25,1.9778269404104685,0.0,0.5714285714285714
26,3306,26,2.46739723834258,0.0,0.5294117647058824
27,3387,27,1.7919248458275654,0.0,0.6438356164383562
28,3460,28,2.401703537564155,0.0,0.5
29,3573,29,1.6889059684171883,0.0,0.6261682242990654
30,3654,30,2.442614714937679,0.0,0.5189873417721519
31,3735,31,1.7349990309194538,0.0,0.631578947368421
32,3840,32,2.2893635475287293,0.0,0.4948453608247423
33,3929,33,1.8438608376515153,0.0,0.5487804878048781
34,4002,34,2.595178190498403,0.0,0.5652173913043478
35,4131,35,1.9998546441378604,0.0,0.5390625
36,4252,36,2.210301074488825,0.0,0.5714285714285714
37,4325,37,1.5930245572721256,0.0,0.5909090909090909
38,4422,38,1.6339013862074314,0.0,0.6210526315789474
39,4535,39,2.362135538694547,0.0,0.4864864864864865
40,4640,40,2.4308532312955142,0.0,0.47058823529411764
41,4777,41,1.8636644170450187,0.0,0.6691176470588235
42,4842,42,1.4165831591759996,0.0,0.6440677966101694
43,4963,43,2.269489581031208,0.0,0.5
44,5084,44,1.5960107708449565,0.0,0.6017699115044248
45,5165,45,1.8925851391939859,0.0,0.618421052631579
46,5502,46,1.104027304898577,0.0,0.7757575757575758
47,5631,47,2.3743979385451706,0.0,0.512
48,5744,48,1.848007640439846,0.0,0.6517857142857143
49,5905,49,1.7264244854478705,0.0,0.5414012738853503
50,6010,50,1.8186650821497932,0.0,0.5876288659793815
51,6099,51,1.7117237822899782,0.0,0.5977011494252874
52,6212,52,2.0466141946293175,0.0,0.5596330275229358
53,6349,53,1.8249787064695913,0.0,0.6230769230769231
54,6406,54,1.636027291349332,0.0,0.6964285714285714
55,6479,55,1.8134590648631008,0.0,0.5694444444444444
56,6576,56,2.1364008399516665,0.0,0.5208333333333334
57,6665,57,1.6624724274952107,0.0,0.7093023255813954
58,6810,58,2.027959866088173,0.0,0.5177304964539007
59,6899,59,1.8632094420442165,0.0,0.6296296296296297
60,7044,60,1.783615973682395,0.0,0.5899280575539568
61,7117,61,1.4581967664385425,0.0,0.6307692307692307
62,7214,62,1.4091933697485075,0.0,0.65625
63,7343,63,2.137227410616731,0.0,0.5573770491803278
64,7448,64,1.7832839789674522,0.0,0.5490196078431373
65,7577,65,1.5216248211259042,0.0,0.6456692913385826
66,7690,66,1.9199597812223437,0.0,0.5754716981132075
67,7779,67,1.5897529057887347,0.0,0.5975609756097561
68,7908,68,1.840082040724127,0.0,0.5317460317460317
69,7973,69,1.5653453544105105,0.0,0.7096774193548387
70,8094,70,2.117653632087225,0.0,0.5478260869565217
71,8199,71,2.774410865598681,0.0,0.47058823529411764
72,8288,72,2.2429845262305332,0.0,0.5294117647058824
73,8401,73,2.096464262522756,0.0,0.5283018867924528
74,8498,74,1.809520841321794,0.0,0.6
75,8587,75,1.8749061769553506,0.0,0.5411764705882353
76,8724,76,1.899325700196989,0.0,0.5303030303030303
77,8853,77,2.1870593528932005,0.0,0.5691056910569106
78,8918,78,1.9331924864273304,0.0,0.5862068965517241
79,9015,79,2.0634749204190443,0.0,0.5056179775280899
80,9096,80,1.6164449632680657,0.0,0.6
81,9177,81,2.256921141953808,0.0,0.52
82,9274,82,1.9281352850095648,0.0,0.5591397849462365
83,9467,83,2.1926387801911127,0.0,0.5340314136125655
84,9604,84,1.8328784526090323,0.0,0.6136363636363636
85,9741,85,2.030088650752272,0.0,0.518796992481203
86,9942,86,2.1862521338359238,0.0,0.520618556701031
87,10047,87,1.9922127711492104,0.0,0.5865384615384616
88,10248,88,1.8187782208993395,0.0,0.5918367346938775
89,10369,89,1.7285931416638505,0.0,0.6333333333333333
90,10498,90,1.7427532736972857,0.0,0.5772357723577236
91,10643,91,1.7641716375220795,0.0,0.5694444444444444
92,10780,92,1.4182111368638508,0.0,0.7058823529411765
93,10925,93,1.837217972454359,0.0,0.6056338028169014
94,11006,94,1.7856449975500028,0.0,0.5789473684210527
95,11159,95,1.4076603507435326,0.0,0.6068965517241379
96,11248,96,1.491229272275508,0.0,0.611764705882353
97,11337,97,1.4510496602132177,0.0,0.5925925925925926
98,11442,98,1.3788190481352711,0.0,0.6391752577319587
99,11523,99,1.9494944815156032,0.0,0.5822784810126582
100,11732,100,1.618126247808767,0.0,0.6089108910891089
101,11837,101,1.8989365863864518,0.0,0.5490196078431373
102,11974,102,1.5117589995476002,0.0,0.6136363636363636
103,12087,103,1.2510459120686173,0.0,0.6635514018691588
104,12224,104,1.5281243152725543,0.0,0.6564885496183206
105,12417,105,1.6384561917461817,0.0,0.5706806282722513
106,12618,106,1.657193738852268,0.0,0.6020408163265306
107,12779,107,1.916890549063777,0.0,0.5163398692810458
108,12868,108,1.3576943323509196,0.0,0.654320987654321
109,12941,109,1.8031357865839241,0.0,0.625
110,13038,110,1.3296961460352272,0.0,0.6526315789473685
111,13119,111,1.1793620423616518,0.0,0.6666666666666666
112,13248,112,1.1154242255625562,0.0,0.6771653543307087
113,13345,113,1.7077071432354338,0.0,0.5955056179775281
114,13410,114,1.085597049008257,0.0,0.7419354838709677
115,13483,115,1.0773733588326055,0.0,0.696969696969697
116,13556,116,1.17931145257003,0.0,0.7083333333333334
117,13781,117,1.508621236238298,0.0,0.6171171171171171
118,13878,118,1.5719349847821698,0.0,0.5955056179775281
119,14007,119,1.3172771754845272,0.0,0.6666666666666666
120,14088,120,1.591166929246947,0.0,0.6
121,14209,121,1.742966069491687,0.0,0.6554621848739496
122,14330,122,1.2071677976297324,0.0,0.7416666666666667
123,14467,123,1.4760927879924068,0.0,0.6692307692307692
124,14588,124,1.824105597069206,0.0,0.5614035087719298
125,14709,125,1.6802675824869182,0.0,0.6173913043478261
126,14822,126,1.6479882229919531,0.0,0.6037735849056604
127,14887,127,1.4644648281020283,0.0,0.6724137931034483
128,15080,128,1.4972175209268537,0.0,0.6378378378378379
129,15193,129,1.4298747671835186,0.0,0.6111111111111112
130,15290,130,0.9411348574129452,0.0,0.7395833333333334
131,15363,131,0.8570140794991137,0.0,0.7076923076923077
132,15476,132,1.4453545380578419,0.0,0.6320754716981132
133,15597,133,1.2131092951419948,0.0,0.6902654867256637
134,15694,134,1.8093512638128193,0.0,0.5833333333333334
135,15895,135,1.488586812051598,0.0,0.673469387755102
136,16056,136,1.2920448363299355,0.0,0.6369426751592356
137,16161,137,1.7812238199453105,0.0,0.5979381443298969
138,16250,138,1.652920585253381,0.0,0.6235294117647059
139,16339,139,1.3162037769832657,0.0,0.6097560975609756
140,16540,140,1.9114726303812404,0.0,0.5515463917525774
141,16709,141,1.410432083493884,0.0,0.6521739130434783
142,16854,142,1.4700253855385768,0.0,0.676056338028169
143,16935,143,1.1548430799182854,0.0,0.7105263157894737
144,17064,144,1.3986992695072864,0.0,0.6587301587301587
145,17193,145,1.7950182263549261,0.0,0.608
146,17330,146,1.0848659134570753,0.0,0.7352941176470589
147,17435,147,1.6166345290985782,0.0,0.5918367346938775
148,17548,148,1.3745640838173714,0.0,0.75
149,17637,149,1.424016072979989,0.0,0.6428571428571429
150,17742,150,2.1505172206819383,0.0,0.5098039215686274
151,17855,151,1.5352243081532118,0.0,0.5675675675675675
152,17928,152,0.6782815639197047,0.0,0.7971014492753623
153,18017,153,1.807657697938184,0.0,0.5581395348837209
154,18170,154,2.2623724212305003,0.0,0.5496688741721855
155,18275,155,1.421168443709755,0.0,0.62
156,18372,156,1.5934968357460377,0.0,0.5913978494623656
157,18501,157,1.6594081254075235,0.0,0.6229508196721312
158,18574,158,0.7357202370833167,0.0,0.8472222222222222
159,18663,159,1.2197569263871537,0.0,0.6666666666666666
160,18800,160,1.4720389993368046,0.0,0.6666666666666666
161,18881,161,1.623008406739632,0.0,0.6447368421052632
